Camara,id,apellido,nombre,partido,genero,Nacimiento,Comisiones,Posición
diputados,550,González Anaya,María Libier,MC,f,27/03/1954,Desarrollo Social,Integrante
diputados,550,González Anaya,María Libier,MC,f,27/03/1954,Relaciones Exteriores,Integrante
diputados,237,Zamudio Macías,Martha Angélica,MC,f,24/02/1957,Seguridad Social,Integrante
diputados,428,Bravo Padilla,Itzcóatl Tonatiuh,MC,v,07/02/1960,Presupuesto y Cuenta Pública,Integrante
diputados,584,Herrera Vega,Geraldina Isabel,MC,f,24/04/1963,"Ciencia, Tecnología e Innovación",Integrante
diputados,584,Herrera Vega,Geraldina Isabel,MC,f,24/04/1963,Derechos Humanos,Integrante
diputados,340,Cheja Alfaro,Jacobo David,MC,v,08/10/1965,Marina,Integrante
diputados,340,Cheja Alfaro,Jacobo David,MC,v,08/10/1965,Protección Civil y Prevención de Desastres,Integrante
diputados,136,Rodríguez Carrillo,Mario Alberto,MC,v,14/03/1967,"Ciencia, Tecnología e Innovación",Integrante
diputados,136,Rodríguez Carrillo,Mario Alberto,MC,v,14/03/1967,Educación,Integrante
diputados,147,Ramírez Salcido,Juan Francisco,MC,v,25/03/1969,Defensa Nacional,Integrante
diputados,147,Ramírez Salcido,Juan Francisco,MC,v,25/03/1969,Vivienda,Integrante
diputados,570,García Lara,Jorge Alcibíades,MC,v,05/08/1969,Radio y Televisión,Integrante
diputados,570,García Lara,Jorge Alcibíades,MC,v,05/08/1969,Vivienda,Integrante
diputados,4,Russo Salido,Jorge Eugenio,MC,v,19/12/1969,Pesca,Integrante
diputados,327,Del Toro Pérez,Higinio,MC,v,28/01/1972,Deporte,Integrante
diputados,327,Del Toro Pérez,Higinio,MC,v,28/01/1972,Hacienda y Crédito Público,Integrante
diputados,384,Espinoza Cárdenas,Juan Martín,MC,v,11/07/1972,"Desarrollo y Conservación Rural, Agrícola y Autosuficiencia Alimentaria",Integrante
diputados,384,Espinoza Cárdenas,Juan Martín,MC,v,11/07/1972,Pueblos Indígenas,Integrante
diputados,23,Rodríguez Vázquez,Ariel,MC,v,01/11/1972,"Medio Ambiente, Sustentabilidad, Cambio Climático y Recursos Naturales",Integrante
diputados,23,Rodríguez Vázquez,Ariel,MC,v,01/11/1972,Pueblos Indígenas,Integrante
diputados,73,Tagle Martínez,Martha Angélica,MC,f,26/11/1973,Puntos Constitucionales,Integrante
diputados,73,Tagle Martínez,Martha Angélica,MC,f,26/11/1973,Salud,Integrante
diputados,501,Lozano Mac Donald,María del Pilar,MC,f,10/10/1974,Asuntos Migratorios,Integrante
diputados,501,Lozano Mac Donald,María del Pilar,MC,f,10/10/1974,Relaciones Exteriores,Integrante
diputados,500,Loya Hernández,Fabiola Raquel Guadalupe,MC,f,05/11/1974,Comunicaciones y Transportes,Integrante
diputados,500,Loya Hernández,Fabiola Raquel Guadalupe,MC,f,05/11/1974,Igualdad de Género,Integrante
diputados,34,Ron Ramos,Eduardo,MC,v,24/02/1975,Pesca,Integrante
diputados,119,Prudencio González,Carmen Julia,MC,f,30/06/1977,Defensa Nacional,Integrante
diputados,119,Prudencio González,Carmen Julia,MC,f,30/06/1977,Gobernación y Población,Integrante
diputados,526,Medina Ortíz,Adriana Gabriela,MC,f,25/06/1979,"Recursos Hidráulicos, Agua Potable y Saneamiento",Integrante
diputados,367,Falomir Saenz,Alan Jesús,MC,v,23/02/1981,Deporte,Integrante
diputados,367,Falomir Saenz,Alan Jesús,MC,v,23/02/1981,Seguridad Pública,Integrante
diputados,312,Contreras González,Lourdes Celenia,MC,f,29/12/1984,Derechos de la Niñez y Adolescencia,Integrante
diputados,312,Contreras González,Lourdes Celenia,MC,f,29/12/1984,Economía Social y Fomento del Cooperativismo,Integrante
diputados,2,Salinas Reyes,Ruth,MC,f,19/02/1985,Economía Social y Fomento del Cooperativismo,Integrante
diputados,2,Salinas Reyes,Ruth,MC,f,19/02/1985,Transparencia y Anticorrupción,Integrante
diputados,540,Ku Escalante,Kehila Abigail,MC,f,02/09/1985,"Economía, Comercio y Competitividad",Integrante
diputados,540,Ku Escalante,Kehila Abigail,MC,f,02/09/1985,Educación,Integrante
diputados,529,Méndez de la Luz Dauzón,Dulce María,MC,f,06/10/1985,Derechos de la Niñez y Adolescencia,Integrante
diputados,529,Méndez de la Luz Dauzón,Dulce María,MC,f,06/10/1985,Juventud y Diversidad Sexual,Integrante
diputados,555,González García,Ana Priscila,MC,f,13/05,Infraestructura,Integrante
diputados,555,González García,Ana Priscila,MC,f,13/05,Trabajo y Previsión Social,Integrante
diputados,266,Villarreal Salazar,Juan Carlos,MC,v,11/08,Jurisdiccional,Integrante
diputados,266,Villarreal Salazar,Juan Carlos,MC,v,11/08,"Régimen, Reglamentos y Prácticas Parlamentarias",Integrante
diputados,546,Gómez Maldonado,Maiella Martha Gabriela,MC,f,26/09,Presupuesto y Cuenta Pública,Integrante
diputados,546,Gómez Maldonado,Maiella Martha Gabriela,MC,f,26/09,Turismo,Integrante
diputados,136,Rodríguez Carrillo,Mario Alberto,MC,v,14/03/1967,Vigilancia de la Auditoría Superior de la Federación,Presidente
diputados,501,Lozano Mac Donald,María del Pilar,MC,f,10/10/1974,"Desarrollo Metropolitano, Urbano, Ordenamiento Territorial y Movilidad",Presidente
diputados,34,Ron Ramos,Eduardo,MC,v,24/02/1975,Ganadería,Presidente
diputados,550,González Anaya,María Libier,MC,f,27/03/1954,Asuntos Migratorios,Secretario/a
diputados,237,Zamudio Macías,Martha Angélica,MC,f,24/02/1957,Trabajo y Previsión Social,Secretario/a
diputados,237,Zamudio Macías,Martha Angélica,MC,f,24/02/1957,Turismo,Secretario/a
diputados,428,Bravo Padilla,Itzcóatl Tonatiuh,MC,v,07/02/1960,Hacienda y Crédito Público,Secretario/a
diputados,584,Herrera Vega,Geraldina Isabel,MC,f,24/04/1963,"Economía, Comercio y Competitividad",Secretario/a
