id,apellido,nombre,partido,genero,Nacimiento,Comisiones,Posición
40,Sandoval Flores,Reginaldo,Partido del Trabajo,v,1967,Ganadería,Integrante
40,Sandoval Flores,Reginaldo,Partido del Trabajo,v,1967,Hacienda y Crédito Público,Integrante
551,González Cuevas,Isaías,Partido Revolucionario Institucional,v,06/07/1940,Seguridad Social,Integrante
551,González Cuevas,Isaías,Partido Revolucionario Institucional,v,06/07/1940,Turismo,Integrante
612,Guzmán de la Torre,Francisco Javier,Movimiento Regeneración Nacional,v,29/08/1944,Ganadería,Integrante
365,García Gómez,Martha Elena,Partido Acción Nacional,f,03/05/1945,Deporte,Integrante
142,Rabelo Velasco,Roque Luis,Movimiento Regeneración Nacional,v,12/08/1945,Defensa Nacional,Integrante
142,Rabelo Velasco,Roque Luis,Movimiento Regeneración Nacional,v,12/08/1945,Protección Civil y Prevención de Desastres,Integrante
489,Limón Hernández,Manuel,Partido Revolucionario Institucional,v,10/01/1946,Energía,Integrante
489,Limón Hernández,Manuel,Partido Revolucionario Institucional,v,10/01/1946,Trabajo y Previsión Social,Integrante
544,Gómez Álvarez,Pablo,Movimiento Regeneración Nacional,v,21/10/1946,Hacienda y Crédito Público,Integrante
544,Gómez Álvarez,Pablo,Movimiento Regeneración Nacional,v,21/10/1946,Jurisdiccional,Integrante
544,Gómez Álvarez,Pablo,Movimiento Regeneración Nacional,v,21/10/1946,Presupuesto y Cuenta Pública,Integrante
544,Gómez Álvarez,Pablo,Movimiento Regeneración Nacional,v,21/10/1946,Puntos Constitucionales,Integrante
239,Zavaleta Sánchez,Graciela,Movimiento Regeneración Nacional,f,23/12/1946,Derechos de la Niñez y Adolescencia,Integrante
239,Zavaleta Sánchez,Graciela,Movimiento Regeneración Nacional,f,23/12/1946,Salud,Integrante
156,Vázquez García,Dionicia,Partido del Trabajo,f,29/03/1948,Defensa Nacional,Integrante
156,Vázquez García,Dionicia,Partido del Trabajo,f,29/03/1948,Protección Civil y Prevención de Desastres,Integrante
511,Moreno Gil,Mario Ismael,Movimiento Regeneración Nacional,v,17/06/1948,Federalismo y Desarrollo Municipal,Integrante
511,Moreno Gil,Mario Ismael,Movimiento Regeneración Nacional,v,17/06/1948,Radio y Televisión,Integrante
330,Cano González,Susana,Movimiento Regeneración Nacional,f,02/06/1949,Derechos de la Niñez y Adolescencia,Integrante
330,Cano González,Susana,Movimiento Regeneración Nacional,f,02/06/1949,Derechos Humanos,Integrante
314,Córdova Morán,Luis Eleusis Leónidas,Partido Revolucionario Institucional,v,26/09/1949,Derechos Humanos,Integrante
314,Córdova Morán,Luis Eleusis Leónidas,Partido Revolucionario Institucional,v,26/09/1949,Educación,Integrante
525,Medina Herrera,Benito,Partido Revolucionario Institucional,v,05/06/1950,Marina,Integrante
525,Medina Herrera,Benito,Partido Revolucionario Institucional,v,05/06/1950,Relaciones Exteriores,Integrante
268,Villegas Arreola,Alfredo,Partido Revolucionario Institucional,v,12/01/1951,Energía,Integrante
268,Villegas Arreola,Alfredo,Partido Revolucionario Institucional,v,12/01/1951,Presupuesto y Cuenta Pública,Integrante
11,Ruffo Appel,Ernesto,Partido Acción Nacional,v,25/06/1952,Asuntos Frontera Norte,Integrante
158,Velasco González,Marcela Guillermina,Partido Revolucionario Institucional,f,25/06/1952,Salud,Integrante
158,Velasco González,Marcela Guillermina,Partido Revolucionario Institucional,f,25/06/1952,Vivienda,Integrante
550,González Anaya,María Libier,Movimiento Ciudadano,f,27/03/1954,Desarrollo Social,Integrante
