id,apellido,nombre,partido,genero,Nacimiento,Comisiones,Posición
298,Castañeda Hoeflich,José Clemente,MC,Varón,11/03/1972,Estudios Legislativos Primera,Secretario/a
299,Castañón Ramírez,Noé Fernando,MC,Varón,1977,Relaciones Exteriores América del Norte,Secretario/a
299,Castañón Ramírez,Noé Fernando,MC,Varón,1977,Asuntos Indígenas,Integrante
299,Castañón Ramírez,Noé Fernando,MC,Varón,1977,Gobernación,Integrante
299,Castañón Ramírez,Noé Fernando,MC,Varón,1977,Marina,Integrante
299,Castañón Ramírez,Noé Fernando,MC,Varón,1977,"Radio, Televisión y Cinematografía ",Integrante
305,Delgadillo García,Verónica,MC,Mujer,13/11/1982,Desarrollo y Bienestar Social,Secretario/a
305,Delgadillo García,Verónica,MC,Mujer,13/11/1982,Ciencia y Tecnología,Integrante
305,Delgadillo García,Verónica,MC,Mujer,13/11/1982,Cultura,Integrante
305,Delgadillo García,Verónica,MC,Mujer,13/11/1982,Educación,Integrante
305,Delgadillo García,Verónica,MC,Mujer,13/11/1982,"Medio Ambiente, Recursos Naturales y Cambio Climático ",Integrante
306,Delgado Rannauro,Dante Alfonso,MC,Varón,23/12/1950,Administración,Integrante
306,Delgado Rannauro,Dante Alfonso,MC,Varón,23/12/1950,Estudios Legislativos Segunda,Integrante
306,Delgado Rannauro,Dante Alfonso,MC,Varón,23/12/1950,Jurisdiccional,Integrante
306,Delgado Rannauro,Dante Alfonso,MC,Varón,23/12/1950,Seguridad Pública,Integrante
2418,Enríquez Herrera,José Ramón,MC,Varón,02/09/1968,Comunicaciones y Transportes,Secretario/a
2418,Enríquez Herrera,José Ramón,MC,Varón,02/09/1968,Defensa Nacional,Integrante
2418,Enríquez Herrera,José Ramón,MC,Varón,02/09/1968,Medalla Belisario Domínguez,Integrante
2418,Enríquez Herrera,José Ramón,MC,Varón,02/09/1968,Relaciones Exteriores,Integrante
2418,Enríquez Herrera,José Ramón,MC,Varón,02/09/1968,Relaciones Exteriores América Latina y el Caribe,Integrante
280,García Sepúlveda,Samuel Alejandro,MC,Varón,28/12/1987,Federalismo y Desarrollo Municipal,Presidente/a
280,García Sepúlveda,Samuel Alejandro,MC,Varón,28/12/1987,Estudios Legislativos,Integrante
280,García Sepúlveda,Samuel Alejandro,MC,Varón,28/12/1987,Hacienda y Crédito Público,Integrante
280,García Sepúlveda,Samuel Alejandro,MC,Varón,28/12/1987,Justicia,Integrante
234,Kempis Martínez,Indira,MC,Mujer,22/08/1982,"Desarrollo Urbano, Ordenamiento Territorial y Vivienda ",Secretario/a
234,Kempis Martínez,Indira,MC,Mujer,22/08/1982,Economía,Integrante
234,Kempis Martínez,Indira,MC,Mujer,22/08/1982,Para la Igualdad de Género,Integrante
234,Kempis Martínez,Indira,MC,Mujer,22/08/1982,Energía,Integrante
177,Mercado Castro,Dora Patricia,MC,Mujer,21/10/1957,Zonas Metropolitanas y Movilidad,Presidente/a
177,Mercado Castro,Dora Patricia,MC,Mujer,21/10/1957,Trabajo y Previsión Social,Secretario/a
177,Mercado Castro,Dora Patricia,MC,Mujer,21/10/1957,Derechos de la Niñez y de la Adolescencia,Integrante
177,Mercado Castro,Dora Patricia,MC,Mujer,21/10/1957,Salud,Integrante
177,Mercado Castro,Dora Patricia,MC,Mujer,21/10/1957,Seguridad Social,Integrante
2050,Zepeda Hernández,Juan Manuel,MC,Varón,10/11/1968,Estudios Legislativos,Secretario/a
2050,Zepeda Hernández,Juan Manuel,MC,Varón,10/11/1968,Educación,Integrante
2050,Zepeda Hernández,Juan Manuel,MC,Varón,10/11/1968,Puntos Constitucionales,Integrante
2050,Zepeda Hernández,Juan Manuel,MC,Varón,10/11/1968,Trabajo y Previsión Social,Integrante
