Entidad,orden,distrito,partido,nombre,tipo,idDirectorio,Género
Aguascalientes,1,Jesús María,PAN,Luévano Núñez Francisco Javier,distrito,495,Varón
Aguascalientes,2,Aguascalientes,PES,Torres Díaz Elba Lorena,distrito,44,Mujer
Aguascalientes,3,Aguascalientes,PAN,González Estrada Martha Elisa,distrito,554,Mujer
Baja California,1,Mexicali,MORENA,Minor Mora Jesús Salvador,distrito,535,Varón
Baja California,2,Mexicali,MORENA,Noriega Galaz Martha Lizeth,distrito,518,Mujer
Baja California,3,Ensenada,PT,Reyes Ledesma Armando,distrito,140,Varón
Baja California,4,Tijuana,MORENA,Andazola Gómez Socorro Irma,distrito,396,Mujer
Baja California,5,Tijuana,MORENA,Moreno Gil Mario Ismael,distrito,511,Varón
Baja California,6,Tijuana,MORENA,Areizaga Uribe Erwin Jorge,distrito,2421,Varón
Baja California,7,Mexicali,MORENA,Morales Elvira Erik Isaac,distrito,507,Varón
Baja California,8,Tijuana,PES,Cruz Aparicio Héctor René,distrito,315,Varón
Baja California Sur,1,La Paz,PT,García Grande Ana Ruth,distrito,566,Mujer
Baja California Sur,2,San José Del Cabo,PT,Porras Domínguez Alfredo,distrito,96,Varón
Campeche,1,San Francisco De Campeche,MORENA,Martínez Aké Carlos Enrique,distrito,467,Varón
Campeche,2,Ciudad Del Carmen,PES,Buenfil Díaz Irasema del Carmen,distrito,438,Mujer
Chiapas,1,Palenque,MORENA,Obrador Narváez Manuela del Carmen,distrito,308,Mujer
Chiapas,2,Bochil,MORENA,Gordillo Moreno Alfredo Antonio,distrito,2080,Varón
Chiapas,3,Ocosingo,MORENA,Vazquez Vazquez Alfredo,distrito,157,Varón
Chiapas,4,Pichucalco,MORENA,Rabelo Velasco Roque Luis,distrito,142,Varón
Chiapas,5,San Cristóbal De Las Casas,PT,Dekker Gómez Clementina Marta,distrito,324,Mujer
Chiapas,6,Tuxtla Gutiérrez,MORENA,Bonifaz Moedano Raúl Eduardo,distrito,432,Varón
Chiapas,7,Tonalá,MORENA,Prado de los Santos Miguel,distrito,117,Varón
Chiapas,8,Comitán De Domínguez,PT,Jiménez Pérez María Roselia,distrito,597,Mujer
Chiapas,9,Tuxtla Gutiérrez,MORENA,Aguilar Molina Leticia Arlett,distrito,415,Mujer
Chiapas,10,Villaflores,MORENA,Farrera Esponda Juan Enrique,distrito,352,Varón
Chiapas,11,Las Margaritas,PVEM,Rubio Montejo Roberto Antonio,distrito,19,Varón
Chiapas,12,Tapachula,MORENA,Elorza Flores José Luis,distrito,377,Varón
Chiapas,13,Huehuetán,PT,Roblero Gordillo Maricruz,distrito,120,Varón
Chihuahua,1,Juárez,MORENA,Mejía Cruz Maria Esther,distrito,528,Mujer
Chihuahua,2,Juárez,MORENA,Vargas Meraz Teresita de Jesús,distrito,57,Mujer
Chihuahua,3,Juárez,PT,Lastra Muñoz Claudia Elena,distrito,488,Mujer
Chihuahua,4,Juárez,MORENA,García Soto Ulises,distrito,575,Varón
Chihuahua,5,Delicias,PAN,Mata Carrasco Mario,distrito,482,Varón
Chihuahua,6,Chihuahua,PAN,Riggs Baeza Miguel Alonso,distrito,121,Varón
Chihuahua,7,Cuauhtémoc,MORENA,Rodríguez Gómez Eraclio,distrito,99,Varón
Chihuahua,8,Chihuahua,MC,Falomir Saenz Alan Jesús,distrito,367,Varón
Chihuahua,9,Hidalgo Del Parral,PAN,Gutiérrez Valdez María de los Angeles,distrito,601,Mujer
Ciudad De México,1,Gustavo A. Madero,MORENA,Del Castillo Ibarra Erika Vanessa,distrito,326,Mujer
Ciudad De México,2,Gustavo A. Madero,PES,González Escoto Armando,distrito,553,Varón
Ciudad De México,3,Azcapotzalco,MORENA,Jáuregui Montes de Oca Miguel Ángel,distrito,593,Varón
Ciudad De México,4,Iztapalapa,PT,Fernández Noroña José Gerardo Rodolfo,distrito,356,Varón
Ciudad De México,5,Tlalpan,MORENA,López Rayón Claudia,distrito,498,Mujer
Ciudad De México,6,La Magdalena Contreras,MORENA,Mayer Bretón Sergio,distrito,505,Varón
Ciudad De México,7,Gustavo A. Madero,MORENA,Rojas Martínez Beatriz,distrito,26,Mujer
Ciudad De México,8,Cuauhtémoc,PES,Rosete Sánchez María de Jesús,distrito,30,Mujer
Ciudad De México,9,Tláhuac,MORENA,Espinosa de los Monteros García Adriana María Guadalupe,distrito,383,Mujer
Ciudad De México,10,Miguel Hidalgo,MORENA,Hidalgo Ponce Javier Ariel,distrito,585,Varón
Ciudad De México,11,Venustiano Carranza,MORENA,Barrera Badillo Rocío,distrito,459,Mujer
Ciudad De México,12,Cuauhtémoc,MORENA,Padierna Luna María de los Dolores,distrito,111,Mujer
Ciudad De México,13,Iztacalco,MORENA,Delgado Carrillo Mario Martín,distrito,347,Varón
Ciudad De México,14,Tlalpan,MORENA,Aguirre Valenciana Javier Uriel,distrito,2419,Varón
Ciudad De México,15,Benito Juárez,PAN,Mendoza Acevedo Luis Alberto,distrito,530,Varón
Ciudad De México,16,Álvaro Obregón,MORENA,Villavicencio Ayala Silvia Lorena,distrito,267,Mujer
Ciudad De México,17,Cuajimalpa De Morelos,PES,Saldivar Camacho Francisco Javier,distrito,8,Varón
Ciudad De México,18,Iztapalapa,MORENA,Rodríguez Ruiz Ana María,distrito,22,Mujer
Ciudad De México,19,Iztapalapa,MORENA,Alavez Ruiz Aleida,distrito,420,Mujer
Ciudad De México,20,Iztapalapa,PT,Rojo Pimentel Ana Karina,distrito,27,Mujer
Ciudad De México,21,Xochimilco,MORENA,Audiffred Fernández Karen Ivette,distrito,2081,Mujer
Ciudad De México,22,Iztapalapa,MORENA,Varela López Víctor Gabriel,distrito,54,Varón
Ciudad De México,23,Coyoacán,MORENA,Gómez Álvarez Pablo,distrito,544,Varón
Ciudad De México,24,Coyoacán,MORENA,Ramos Sotelo Guadalupe,distrito,150,Mujer
Coahuila,1,Piedras Negras,SG,Pérez Rivera Evaristo Lenin,distrito,80,Varón
Coahuila,2,San Pedro,MORENA,Borrego Adame Francisco Javier,distrito,435,Varón
Coahuila,3,Monclova,MORENA,Farías Zambrano Melba Nelia,distrito,351,Mujer
Coahuila,4,Saltillo,PRI,Garay Cadena Martha Hortencia,distrito,363,Mujer
Coahuila,5,Torreón,MORENA,Salazar Fernández Luis Fernando,distrito,6,Varón
Coahuila,6,Torreón,PES,Pérez Hernández José Ángel,distrito,83,Varón
Coahuila,7,Saltillo,PRI,De las Fuentes Hernández Fernando Donato,distrito,323,Varón
Colima,1,Colima,MORENA,Yáñez Centeno y Cabrera Claudia Valeria,distrito,254,Mujer
Colima,2,Manzanillo,MORENA,Bayardo Cabrera Rosa María,distrito,445,Mujer
Durango,1,Victoria De Durango,MORENA,García Vidaña Martha Olivia,distrito,576,Mujer
