camara,seccion,descripcion
Diputados,Contraloría Interna,"Es el órgano técnico encargado de recibir quejas, realizar investigaciones, llevar a cabo auditorías y aplicar los procedimientos y sanciones inherentes a las responsabilidades administrativas de los servidores públicos de la Cámara y se ubica en el ámbito de la Conferencia, según lo dispone el artículo 53 de la Ley Orgánica. "
Diputados,Coordinación de Comunicación Social,"Es el órgano técnico para la difusión de actividades de la Cámara, sirve de enlace con los medios de comunicación y es responsable del programa de publicaciones, según lo dispone el artículo 54 de la Ley Orgánica."
Diputados,Junta de Coordinación Política,"Es el órgano colegiado de gobierno que tienen las cámaras de Diputados y de Senadores, respectivamente, en el que se impulsan entendimientos y convergencias políticas con las instancias y órganos que resulten necesarios a fin de alcanzar acuerdos para que el Pleno de cada cámara esté en condiciones de adoptar las decisiones que constitucional y legalmente le corresponden. Se integra por los coordinadores de cada grupo parlamentario y expresa la pluralidad política que se manifiesta al interior de los órganos de gobierno de las cámaras del Congreso de la Unión."
Diputados,Mesa Directiva,Es el órgano colegiado de gobierno de cada una de las cámaras del Congreso de la Unión y/o de la Comisión Permanente que expresa su unidad política. Es dirigida y coordinada por su presidente y se reunirá por lo menos una vez a la semana durante los periodos de sesiones y con la periodicidad que acuerde durante los recesos. La norma establece que su actuación se deberá regir por los principios de imparcialidad y objetividad.
Diputados,Secretaría de Servicios Administrativos y Financieros,"Es el órgano al que le corresponde la prestación de los servicios a que se refiere el artículo 51 de la Ley Orgánica; esto es, de recursos humanos, tesorería, recursos materiales, generales y de informática, jurídicos, de seguridad, médicos y de atención a diputados, en términos de lo dispuesto por la Ley Orgánica, el presente Estatuto y las normas, disposiciones y acuerdos aplicables."
Diputados,Secretaría de Servicios Parlamentarios,"Es el órgano al que le corresponde la prestación de los servicios a que se refiere el artículo 49 de la Ley Orgánica: de asistencia a la Presidencia de la Mesa Directiva, a la sesión, a las comisiones, del Diario de los Debates, del archivo y de bibliotecas, en términos de lo dispuesto por la Ley Orgánica, el presente Estatuto y las normas, disposiciones y los acuerdos aplicables."
Diputados,Secretaría General,"Es el órgano que tiene a su cargo la coordinación de los servicios parlamentarios, administrativos y financieros que garantizan que los apoyos para los órganos de gobierno, las sesiones y el trabajo de comisiones y comités se otorguen con imparcialidad y calidad, con apego al marco jurídico aplicable; así como proponer y, en su caso, aprobar la normatividad, instrumentos y mecanismos administrativos que permitan el ejercicio eficiente, austero y transparente de los recursos de la Cámara, en beneficio de la actividad legislativa así como de la preservación de la infraestructura del Palacio Legislativo de San Lázaro, considerado patrimonio nacional."
Senado,Coordinación Técnica,"Es el órgano que proporciona los servicios de recepción, registro, procedimiento y control documental, así como los de asesoría y apoyo técnico que requieren los Órganos de Gobierno, comisiones legislativas, grupos parlamentarios, senadoras y senadores, durante el desarrollo del proceso legislativo del Senado."
Senado,Junta de Coordinación Política,"Es el órgano colegiado de gobierno que tienen las cámaras de Diputados y de Senadores, respectivamente, en el que se impulsan entendimientos y convergencias políticas con las instancias y órganos que resulten necesarios a fin de alcanzar acuerdos para que el Pleno de cada cámara esté en condiciones de adoptar las decisiones que constitucional y legalmente le corresponden. Se integra por los coordinadores de cada grupo parlamentario y expresa la pluralidad política que se manifiesta al interior de los órganos de gobierno de las cámaras del Congreso de la Unión."
Senado,Mesa Directiva,Es el órgano colegiado de gobierno de cada una de las cámaras del Congreso de la Unión y/o de la Comisión Permanente que expresa su unidad política. Es dirigida y coordinada por su presidente y se reunirá por lo menos una vez a la semana durante los periodos de sesiones y con la periodicidad que acuerde durante los recesos. La norma establece que su actuación se deberá regir por los principios de imparcialidad y objetividad.
Senado,Servicios Administrativos y Financieros,"Es el órgano que tiene por objeto proporcionar, de acuerdo con la normatividad aplicable, los recursos y servicios que requieran las y los senadores, órganos de gobierno, las comisiones legislativas, la Comisión de Administración y las unidades parlamentarias, administrativas y técnicas, para el funcionamiento óptimo del Senado de la República."
Senado,Servicios Parlamentarios,"Es el órgano que tiene por objeto proporcionar el apoyo requerido por la Mesa Directiva, la Comisión Permanente, comisiones legislativas, senadoras, senadores, grupos parlamentarios y la Junta de Coordinación Política, para su participación en los actos y tareas plenarias, en la elaboración del programa legislativo para el período de sesiones, en la precisión de conceptos técnico jurídicos que requieran en todas la tareas legislativas que realizan, promoviendo además, las acciones necesarias para la conservación y enriquecimiento del acervo bibliográfico y documental del Senado."
