Camara,Seccion,nivel,idSlug,area,depende de,partido,titular,direccion,telefono,url
Senado,Mesa Directiva,1,mesa-directiva-1,Presidencia,,,Mónica Fernández Balboa,"Av. Paseo de la Reforma 135, Colonia Tabacalera, Alcaldía Cuauhtémoc, Ciudad de México C.P. 06030",01 (55) 5345 3000 Ext. 3634,
Senado,Mesa Directiva,2,mesa-directiva-2,Vicepresidente,mesa-directiva-1,,Salomón Jara Cruz,"Av. Paseo de la Reforma 135, Colonia Tabacalera, Alcaldía Cuauhtémoc, Ciudad de México C.P. 06031","01 (55) 5345 3000 Ext. 3681, 3688",
Senado,Mesa Directiva,2,mesa-directiva-3,Vicepresidenta,mesa-directiva-1,,María Guadalupe Murguía Gutiérrez,"Av. Paseo de la Reforma 135, Colonia Tabacalera, Alcaldía Cuauhtémoc, Ciudad de México C.P. 06032",01 (55) 5345 3000 Ext. 3323,
Senado,Mesa Directiva,2,mesa-directiva-4,Vicepresidente,mesa-directiva-1,,Jorge Carlos Ramírez Marín,"Av. Paseo de la Reforma 135, Colonia Tabacalera, Alcaldía Cuauhtémoc, Ciudad de México C.P. 06033","01 (55) 5345 3000 Ext. 4108, 5413",
Senado,Mesa Directiva,3,mesa-directiva-5,Secretaria,mesa-directiva-1,,M. Citalli Hernández Mora,"Av. Paseo de la Reforma 135, Colonia Tabacalera, Alcaldía Cuauhtémoc, Ciudad de México C.P. 06034",01 (55) 5345 3000 Ext. 4116 y 3563,
Senado,Mesa Directiva,3,mesa-directiva-6,Secretaria,mesa-directiva-1,,Verónica Delgadillo García,"Av. Paseo de la Reforma 135, Colonia Tabacalera, Alcaldía Cuauhtémoc, Ciudad de México C.P. 06035",01 (55) 5345 3000 Ext. 3846,
Senado,Mesa Directiva,3,mesa-directiva-7,Secretaria,mesa-directiva-1,,Nancy de la Sierra Arámburo,"Av. Paseo de la Reforma 135, Colonia Tabacalera, Alcaldía Cuauhtémoc, Ciudad de México C.P. 06036",01 (55) 5345 3000 Ext. 3084,
Senado,Mesa Directiva,3,mesa-directiva-8,Secretario,mesa-directiva-1,,Primo Dothé Mata,"Av. Paseo de la Reforma 135, Colonia Tabacalera, Alcaldía Cuauhtémoc, Ciudad de México C.P. 06037",01 (55) 5345 3000 Ext. 3013 y 5598,
Senado,Mesa Directiva,3,mesa-directiva-9,Secretaria,mesa-directiva-1,,Martha Guerrero Sánchez,"Av. Paseo de la Reforma 135, Colonia Tabacalera, Alcaldía Cuauhtémoc, Ciudad de México C.P. 06038","01 (55) 5345 3000 Ext. 3561, 5507, 5139",
Senado,Mesa Directiva,3,mesa-directiva-10,Secretaria,mesa-directiva-1,,María Guadalupe Saldaña Cisneros,"Av. Paseo de la Reforma 135, Colonia Tabacalera, Alcaldía Cuauhtémoc, Ciudad de México C.P. 06039","01 (55) 5345 3000 Ext. 5444, 5446, 5565",
Senado,Mesa Directiva,3,mesa-directiva-11,Secretaria,mesa-directiva-1,,Verónica Noemí Camino Farjat,"Av. Paseo de la Reforma 135, Colonia Tabacalera, Alcaldía Cuauhtémoc, Ciudad de México C.P. 06040",01 (55) 5345 3000 Ext. 3082,
Senado,Mesa Directiva,3,mesa-directiva-12,Secretaria,mesa-directiva-1,,Katya Elizabeth Ávila Vázquez,"Av. Paseo de la Reforma 135, Colonia Tabacalera, Alcaldía Cuauhtémoc, Ciudad de México C.P. 06041",01 (55) 5345 3000 Ext. 3448 y 3340,
Senado,Junta de Coordinación Política,1,junta-de-coordinación-política-13,Presidencia Coordinador del Grupo Parlamentario MORENA,,MORENA,Ricardo Monreal Ávila,"Av. Paseo de la Reforma 135, Colonia Tabacalera, Alcaldía Cuauhtémoc, Ciudad de México C.P. 06042","01 (55) 5345 3000 Ext. 3120, 2206, 5959 y 3063",
Senado,Junta de Coordinación Política,2,junta-de-coordinación-política-14,Coordinador del Grupo Parlamentario PAN,junta-de-coordinación-política-13,PAN,Mauricio Kuri González,"Av. Paseo de la Reforma 135, Colonia Tabacalera, Alcaldía Cuauhtémoc, Ciudad de México C.P. 06043",01 (55) 5345 3000 Ext. 3190,
Senado,Junta de Coordinación Política,2,junta-de-coordinación-política-15,Coordinador del Grupo Parlamentario PRI,junta-de-coordinación-política-13,PRI,Miguel Ángel Osorio Chong,"Av. Paseo de la Reforma 135, Colonia Tabacalera, Alcaldía Cuauhtémoc, Ciudad de México C.P. 06044",01 (55) 5345 3000 Ext. 3003,
Senado,Junta de Coordinación Política,2,junta-de-coordinación-política-16,Coordinador del Grupo Parlamentario Mov. Ciudadano,junta-de-coordinación-política-13,Mov. Ciudadano,Dante Delgado,"Av. Paseo de la Reforma 135, Colonia Tabacalera, Alcaldía Cuauhtémoc, Ciudad de México C.P. 06045","01 (55) 5345 3000 Ext. 5942, 5248 y 5309",
Senado,Junta de Coordinación Política,2,junta-de-coordinación-política-17,Coordinador del Grupo Parlamentario PVEM,junta-de-coordinación-política-13,PVEM,Manuel Velasco Coello,"Av. Paseo de la Reforma 135, Colonia Tabacalera, Alcaldía Cuauhtémoc, Ciudad de México C.P. 06046",01 (55) 5345 3000 Ext. 3675,
Senado,Junta de Coordinación Política,2,junta-de-coordinación-política-18,Coordinadora del Grupo Parlamentario PT,junta-de-coordinación-política-13,PT,Geovanna del Carmen Bañuelos de la Torre,"Av. Paseo de la Reforma 135, Colonia Tabacalera, Alcaldía Cuauhtémoc, Ciudad de México C.P. 06047",01 (55) 5345 3000 Ext. 3327,
Senado,Junta de Coordinación Política,2,junta-de-coordinación-política-19,Coordinador del Grupo Parlamentario PRD,junta-de-coordinación-política-13,PRD,Miguel Ángel Mancera Espinosa,"Av. Paseo de la Reforma 135, Colonia Tabacalera, Alcaldía Cuauhtémoc, Ciudad de México C.P. 06048",01 (55) 5345 3000 Ext. 3054,
